PLAYER_ID,TEAM_ID,PERIOD,ACTION_TYPE,SHOT_TYPE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG,SEASON,TOTAL_REMAINING_IN_GAME
406,38,1,0,2,1,-4,11,0,2010,2863
2544,48,1,1,2,19,144,135,1,2010,2813
1718,38,1,2,2,18,165,83,0,2010,2795
2548,48,1,3,2,2,21,7,0,2010,2787
2544,48,1,4,2,18,-152,107,0,2010,2762
200765,38,1,4,2,19,143,137,0,2010,2741
406,38,1,0,2,0,2,0,0,2010,2737
2306,48,1,4,2,18,-185,34,0,2010,2713
200765,38,1,5,2,0,-4,-6,1,2010,2697
2544,48,1,4,2,19,-190,4,1,2010,2683
406,38,1,6,2,0,7,6,1,2010,2647
1718,38,1,4,3,23,231,4,1,2010,2609
2548,48,1,2,2,19,-122,157,0,2010,2586
2544,48,1,4,2,21,108,183,0,2010,2572
406,38,1,7,2,1,10,7,1,2010,2564
2547,48,1,8,2,0,0,1,1,2010,2533
951,38,1,4,3,23,-231,-6,0,2010,2515
2548,48,1,9,2,3,-29,15,0,2010,2502
951,38,1,0,2,0,-7,0,1,2010,2493
2544,48,1,0,2,1,1,-14,0,2010,2472
200765,38,1,3,2,1,-10,0,0,2010,2452
951,38,1,4,3,24,-201,134,1,2010,2447
200765,38,1,0,2,1,-10,3,0,2010,2424
2548,48,1,2,3,22,-229,0,0,2010,2413
201202,48,1,0,2,1,-8,12,1,2010,2411
2592,48,1,4,3,24,-228,82,0,2010,2369
2592,48,1,4,3,23,-239,12,0,2010,2365
951,38,1,4,2,16,-158,42,0,2010,2355
1718,38,1,0,2,1,-7,9,0,2010,2328
951,38,1,4,3,24,95,227,0,2010,2316
200765,38,1,9,2,7,64,31,0,2010,2274
979,38,1,4,2,14,-139,17,0,2010,2246
2544,48,1,10,2,7,47,56,0,2010,2237
201175,38,1,0,2,0,-8,3,1,2010,2223
2544,48,1,4,2,21,143,165,0,2010,2207
951,38,1,4,3,24,-196,148,0,2010,2192
2617,48,1,4,2,15,10,153,0,2010,2179
2548,48,2,0,2,0,7,1,0,2010,2149
2548,48,2,4,2,17,105,145,0,2010,2139
2547,48,2,0,2,1,10,3,0,2010,2115
2617,48,2,3,2,0,1,1,1,2010,2086
2605,38,2,0,2,0,-8,-2,1,2010,2064
2547,48,2,11,2,10,100,12,0,2010,2045
101126,38,2,4,3,24,209,119,0,2010,2038
2548,48,2,3,2,0,0,6,1,2010,2032
2547,48,2,4,2,4,42,6,0,2010,1997
2547,48,2,0,2,0,-4,7,0,2010,1994
1718,38,2,3,2,0,-2,-5,1,2010,1986
2617,48,2,12,2,5,-5,58,0,2010,1962
2605,38,2,0,2,0,-5,3,1,2010,1952
2547,48,2,4,2,19,-62,184,0,2010,1936
101126,38,2,3,2,0,0,4,1,2010,1896
2548,48,2,2,2,16,-166,15,0,2010,1881
2605,38,2,1,2,6,-7,63,1,2010,1875
2067,48,2,4,3,22,-228,6,0,2010,1856
2067,48,2,4,3,23,-232,39,0,2010,1849
101126,38,2,0,2,2,-11,17,0,2010,1844
101126,38,2,7,2,1,9,6,1,2010,1834
2548,48,2,7,2,0,7,3,1,2010,1798
101126,38,2,4,3,24,-223,101,0,2010,1778
2067,48,2,1,2,16,163,26,1,2010,1769
708,38,2,9,2,12,-114,41,1,2010,1747
2547,48,2,4,2,15,132,88,0,2010,1723
951,38,2,3,2,0,-8,3,1,2010,1714
1718,38,2,4,3,24,159,186,0,2010,1678
708,38,2,13,2,1,7,11,0,2010,1676
951,38,2,4,3,24,-235,64,1,2010,1671
2548,48,2,0,2,0,2,9,0,2010,1652
2544,48,2,4,2,21,64,206,1,2010,1621
406,38,2,12,2,5,45,31,0,2010,1599
2617,48,2,4,2,13,130,14,0,2010,1586
2547,48,2,4,2,15,159,6,0,2010,1581
2067,48,2,4,3,24,110,220,1,2010,1562
708,38,2,0,2,0,9,-3,0,2010,1552
708,38,2,4,2,18,-52,175,0,2010,1525
2592,48,2,4,3,22,-229,14,0,2010,1515
2067,48,2,4,2,14,135,61,0,2010,1507
2544,48,2,14,2,0,-4,4,1,2010,1492
201175,38,2,0,2,0,7,1,1,2010,1442
708,38,3,11,2,11,58,105,0,2010,1363
406,38,3,0,2,0,-4,-2,1,2010,1339
2306,48,3,4,2,15,-157,11,0,2010,1317
951,38,3,4,3,22,225,-3,1,2010,1289
2547,48,3,0,2,0,2,-8,1,2010,1268
406,38,3,0,2,1,-7,9,0,2010,1247
708,38,3,4,2,19,-97,165,1,2010,1215
2544,48,3,4,3,24,-193,148,0,2010,1188
2544,48,3,4,3,23,-231,-3,1,2010,1138
708,38,3,4,2,20,-34,201,1,2010,1122
2306,48,3,1,2,18,127,138,1,2010,1107
2067,48,3,4,2,22,17,227,0,2010,1064
2544,48,3,0,2,0,4,-3,0,2010,1037
2547,48,3,15,2,1,-13,3,1,2010,1013
951,38,3,4,3,23,233,25,1,2010,981
2544,48,3,0,2,1,-8,6,0,2010,960
951,38,3,4,2,19,-131,146,0,2010,943
2605,38,3,3,2,0,-7,1,1,2010,924
2544,48,3,4,3,24,155,194,1,2010,896
201175,38,3,16,2,7,-75,11,1,2010,867
2544,48,3,1,2,21,61,209,1,2010,859
951,38,3,17,2,5,-46,26,0,2010,812
2067,48,3,4,3,25,-223,115,1,2010,797
2605,38,3,4,3,23,234,34,0,2010,780
